Word,Count
*,12390
the,5453
to,2764
a,1925
,1704
for,1671
is,1626
in,1260
of,1204
and,1073
be,964
if,932
{,914
data,867
that,849
-,793
},789
or,776
object,745
@param,734
this,732
);,608
an,596
table,580
on,575
from,555
it,534
array,528
not,508
will,507
function,505
use,494
@type,490
by,482
we,478
DataTables,469
as,461
can,455
with,454
are,420
column,411
when,397
set,389
used,377
string,369
@default,363
The,351
settings,351
If,347
element,322
@example,317
//,309
This,287
elements,269
{object},261
which,256
you,247
@dtopt,243
value,243
jQuery,240
$('#example').dataTable(,238
return,236
so,234
have,233
row,233
@name,230
all,229
event,222
$(document).ready(,220
[,218
has,214
but,206
Note,206
only,201
index,197
default,195
parameter,192
function(),190
source,187
property,187
no,182
],180
each,174
should,172
DOM,170
options,169
IE,167
display,167
type,166
page,164
given,164
@memberof,160
null,159
DataTable#oApi,158
information,158
current,157
then,157
state,156
sorting,155
false,154
get,154
any,153
=,149
need,148
using,148
),147
callback,146
@returns,145
Get,145
there,143
node,143
first,143
filtering,140
number,139
at,139
method,139
been,137
nodes,136
License,136
sort,135
initialisation,134
into,133
Set,133
new,131
Use,131
boolean,130
name,127
was,124
want,122
do,120
events,120
dataTables,120
Check,118
case,118
{@link,116
columns,116
\},\,116
required,116
functions,115
{int},113
\null,\,113
values,113
one,112
width,111
may,111
Add,110
already,109
API,108
0,108
check,108
oSettings,107
document,105
true,104
add,104
than,104
selector,103
cell,102
list,102
properties,101
order,99
also,98
Ajax,97
Remove,96
under,95
For,95
after,95
just,93
needed,92
var,92
{string},90
allows,90
call,89
objects,89
To,88
user,88
option,87
(,86
don't,85
header,85
processing,84
sure,84
rows,84
empty,83
returns,83
here,83
draw,83
passed,82
Support:,82
See,82
original,82
We,81
cache,81
request,81
methods,80
done,79
Make,79
end,78
parameters,76
A,75
provided,75
up,75
its,75
since,75
handler,75
same,74
context,73
filter,73
through,73
based,72
{array},72
where,72
1,72
TR,71
available,71
HTML,71
[],70
must,69
copy,69
attributes,69
defined,69
them,69
length,68
called,68
being,68
applied,68
other,68
Create,68
DataTable.defaults},68
scrolling,67
@deprecated,66
remove,66
single,66
internal,66
global,66
because,65
does,65
tables,65
multiple,65
instead,65
rather,64
routine,64
input,64
When,64
change,64
custom,64
position,64
they,63
Using,63
either,63
Data,62
see,62
automatically,62
search,62
\"\targets"\:\,62
{node},62
returned,61
more,61
file,60
Array,60
\"\data"\:\,60
version,60
language,60
callbacks,60
setting,59
it's,59
footer,59
take,59
(),58
text,58
avoid,58
Since,58
server,57
old,57
attribute,57
compatibility,56
classes,56
ordering,55
about,55
back,54
pagination,54
server-side,54
v1.10,54
added,54
special,54
we're,54
types,53
undefined,53
error,53
ready,53
Handle,53
over,53
class,53
{bool},52
distributed,52
$('#example').dataTable();,52
instance,52
Return,52
otherwise,51
dataType,51
Language,51
before,50
what,50
specified,50
read,50
$(document).ready(function(),50
(i.e,50
oTable,50
Copyright,50
\data,\,50
currently,49
allow,49
last,49
always,49
useful,48
Convert,48
pass,48
provide,48
Only,48
form,48
following,48
their,47
removed,47
doesn't,47
without,47
match,47
right,47
JSON,47
target,46
DEFINITION,46
records,46
create,46
created,46
example,46
full,46
`data`,45
You,45
div,45
start,45
arrays,44
style,44
notation,44
might,44
Callbacks,44
@namespace,44
Apply,44
specific,44
support,44
uses,44
saved,44
two,43
changed,43
work,43
2,43
/,43
cells,43
disabled,42
CSS,42
some,42
time,42
\],\,42
fired,42
Update,42
run,42
Don't,41
numbers,41
now,41
height,41
next,41
found,41
how,41
\"\language"\:\,41
Callback,41
\event,\,41
layout,41
still,41
\object,\,40
loop,40
Inc,40
\"\columnDefs"\:\,40
Do,40
such,40
way,40
point,40
update,39
out,39
second,39
Options,39
nested,39
indexes,39
It,39
Columns,39
plug-ins,39
matched,39
plug-in,38
both,38
every,38
visible,38
\true,\,38
correct,38
{boolean},38
make,38
control,37
different,37
key,37
directly,37
|,37
3,37
script,37
Enable,37
ID,37
matching,37
Version,37
test,36
Otherwise,36
