File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\xampp\htdocs\toko\beli.php,21,17,11,1,2,0,2,8,0,0
C:\xampp\htdocs\toko\checkout.php,220,158,43,4,58,0,4,16,0,0
C:\xampp\htdocs\toko\coba.php,22,20,4,2,2,0,0,0,0,0
C:\xampp\htdocs\toko\detail.php,77,56,9,1,17,0,4,18,0,0
C:\xampp\htdocs\toko\hapuskeranjang.php,9,7,5,0,2,0,0,0,0,0
C:\xampp\htdocs\toko\index.php,49,38,3,0,11,0,0,0,0,0
C:\xampp\htdocs\toko\keranjang.php,103,85,8,1,13,1,5,10,0,0
C:\xampp\htdocs\toko\koneksi.php,8,6,3,1,2,0,0,0,0,0
C:\xampp\htdocs\toko\lihat_pembayaran.php,72,55,11,2,9,0,8,23,0,0
C:\xampp\htdocs\toko\login.php,130,104,18,3,26,1,0,4,0,0
C:\xampp\htdocs\toko\logout.php,6,6,4,0,0,0,0,0,0,0
C:\xampp\htdocs\toko\navbar.php,22,20,0,0,2,0,0,0,0,0
C:\xampp\htdocs\toko\nota.php,194,152,13,1,40,0,2,10,0,0
C:\xampp\htdocs\toko\pembayaran.php,94,70,25,3,22,0,2,21,0,0
C:\xampp\htdocs\toko\registration.php,131,106,8,2,25,1,0,4,0,0
C:\xampp\htdocs\toko\riwayat.php,83,71,8,2,11,0,1,16,0,0
C:\xampp\htdocs\toko\LocMetrics.css,1,1,6,0,0,0,0,0,0,0
C:\xampp\htdocs\toko\toko.sql,315,157,0,0,50,7,108,194,8,22
C:\xampp\htdocs\toko\admin\detail.php,69,61,3,0,8,1,0,3,0,0
C:\xampp\htdocs\toko\admin\hapusproduk.php,15,13,9,1,2,0,0,0,0,0
C:\xampp\htdocs\toko\admin\home.php,2,1,0,0,1,0,0,0,0,0
C:\xampp\htdocs\toko\admin\index.php,131,124,30,3,7,1,0,4,0,0
C:\xampp\htdocs\toko\admin\index2.php,353,326,60,6,25,0,2,5,0,0
C:\xampp\htdocs\toko\admin\index3.php,136,124,28,3,12,1,0,4,0,0
C:\xampp\htdocs\toko\admin\koneksi.php,8,6,3,1,2,0,0,0,0,0
C:\xampp\htdocs\toko\admin\laporan_pembelian.php,84,70,9,2,11,0,3,5,0,0
C:\xampp\htdocs\toko\admin\login.php,97,82,11,2,14,1,1,6,0,0
C:\xampp\htdocs\toko\admin\logout.php,5,5,3,0,0,0,0,0,0,0
C:\xampp\htdocs\toko\admin\pelanggan.php,31,30,1,0,1,0,0,0,0,0
C:\xampp\htdocs\toko\admin\pembayaran.php,72,61,12,1,10,0,1,5,0,0
C:\xampp\htdocs\toko\admin\pembelian.php,37,35,1,0,2,0,0,0,0,0
C:\xampp\htdocs\toko\admin\produk.php,42,41,2,0,1,0,0,0,0,0
C:\xampp\htdocs\toko\admin\tambahproduk.php,41,37,7,1,4,0,0,0,0,0
C:\xampp\htdocs\toko\admin\ubahproduk.php,67,62,16,2,4,0,1,3,0,0
C:\xampp\htdocs\toko\admin\style.css,1635,1381,948,0,208,1,46,169,0,0
C:\xampp\htdocs\toko\admin\assets\css\bootstrap.css,6360,6345,3968,0,7,0,8,32,6,25
C:\xampp\htdocs\toko\admin\assets\css\custom.css,380,311,238,0,43,0,26,42,13,23
