Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,120,106197,72177,50437,7801,14058,399,19962,122647,351,2456
C:\xampp\htdocs\toko,120,106197,72177,50437,7801,14058,399,19962,122647,351,2456
C:\xampp\htdocs\toko\admin,102,104640,71048,50258,7778,13766,389,19826,122323,343,2434
C:\xampp\htdocs\toko\admin\assets,13,35440,23141,15207,2788,3877,61,8422,51949,109,1458
C:\xampp\htdocs\toko\admin\assets\css,3,8413,8319,5280,0,51,0,43,136,25,76
C:\xampp\htdocs\toko\admin\assets\js,10,27027,14822,9927,2788,3826,61,8379,51813,84,1382
C:\xampp\htdocs\toko\admin\assets\js\dataTables,3,14493,5997,3495,885,1882,46,6614,38510,24,130
C:\xampp\htdocs\toko\admin\assets\js\morris,3,1926,1753,1559,385,141,1,32,1179,32,1179
C:\xampp\htdocs\toko\admin\cso,9,1668,1551,1205,0,33,0,84,159,9,12
C:\xampp\htdocs\toko\admin\css,10,12662,10604,8802,0,1888,13,170,679,54,221
C:\xampp\htdocs\toko\admin\dist,7,18813,13896,10164,1670,3071,31,1846,12735,41,160
C:\xampp\htdocs\toko\admin\dist\css,4,7209,6131,5385,0,1059,1,19,92,18,90
C:\xampp\htdocs\toko\admin\dist\js,3,11604,7765,4779,1670,2012,30,1827,12643,23,70
C:\xampp\htdocs\toko\admin\gaya,1,103,97,80,0,6,2,0,2,0,1
C:\xampp\htdocs\toko\admin\javascript,9,15954,6815,5543,1044,2054,70,7085,41778,73,337
C:\xampp\htdocs\toko\admin\js,9,13310,9146,6012,1826,2296,122,1868,13550,57,245
C:\xampp\htdocs\toko\admin\laporan,27,3865,3339,2102,428,229,85,297,1267,0,0
C:\xampp\htdocs\toko\admin\laporan\font,14,262,248,106,4,14,0,0,0,0,0
C:\xampp\htdocs\toko\admin\laporan\makefont,2,1176,1051,672,138,72,26,53,215,0,0
C:\xampp\htdocs\toko\admin\laporan\tutorial,9,506,384,259,17,45,3,77,223,0,0
