File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\xampp\htdocs\toko\index.php,?>       <?php while($perproduk=$ambil->fetch_assoc()),13,12,1,0,1,0,0,0,
C:\xampp\htdocs\toko\nota.php,?>     <?php while($pecah = $ambil->fetch_assoc()),12,11,1,0,1,0,0,0,
C:\xampp\htdocs\toko\admin\detail.php,?>     <?php while($pecah = $ambil->fetch_assoc()),14,14,1,0,0,0,0,0,
C:\xampp\htdocs\toko\admin\index2.php,"textCounter(textField, showCountField)",6,6,5,1,0,0,0,0,
C:\xampp\htdocs\toko\admin\assets\js\bootstrap.min.js,"Error(""Bootstrap's JavaScript requires jQuery"");+function(a)",1,1,1,0,0,0,0,0,
C:\xampp\htdocs\toko\admin\dist\js\bootstrap.js,+function($),35,25,11,4,7,0,3,7,
C:\xampp\htdocs\toko\admin\dist\js\bootstrap.js,+function($),77,44,10,8,25,1,8,18,
C:\xampp\htdocs\toko\admin\dist\js\bootstrap.js,+function($),88,54,14,8,25,0,9,25,
C:\xampp\htdocs\toko\admin\dist\js\bootstrap.js,+function($),196,141,30,28,47,2,8,20,
C:\xampp\htdocs\toko\admin\dist\js\bootstrap.js,+function($),158,109,18,19,41,1,8,19,
C:\xampp\htdocs\toko\admin\dist\js\bootstrap.js,+function($),133,83,16,22,41,3,9,35,
C:\xampp\htdocs\toko\admin\dist\js\bootstrap.js,+function($),225,158,37,18,59,6,8,38,
C:\xampp\htdocs\toko\admin\dist\js\bootstrap.js,+function($),364,262,59,38,93,1,9,47,
C:\xampp\htdocs\toko\admin\dist\js\bootstrap.js,+function($),96,58,15,13,28,0,10,37,
C:\xampp\htdocs\toko\admin\dist\js\bootstrap.js,+function($),137,98,19,16,31,1,8,18,
C:\xampp\htdocs\toko\admin\dist\js\bootstrap.js,+function($),114,75,17,11,31,2,8,21,
C:\xampp\htdocs\toko\admin\dist\js\bootstrap.js,+function($),105,66,15,13,31,0,8,15,
C:\xampp\htdocs\toko\admin\dist\js\bootstrap.min.js,"Error(""Bootstrap requires jQuery"");+function(a)",1,1,8,0,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,_fnEscapeRegex( sVal ),2,2,2,1,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,_fnFilterData( settings ),62,44,32,10,12,0,6,63,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,_fnSearchToCamel( obj ),7,7,3,1,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,_fnSearchToHung( obj ),7,7,3,1,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,_fnFeatureHtmlInfo( settings ),25,19,9,2,4,0,2,12,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,_fnUpdateInfo( settings ),34,26,13,3,5,0,3,14,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"_fnInfoMacros( settings, str )",17,14,3,1,1,0,2,14,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,_fnInitialise( settings ),73,44,37,7,14,1,15,142,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"_fnInitComplete( settings, json )",11,7,6,1,2,0,2,17,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"_fnLengthChange( settings, val )",8,5,5,0,2,0,1,4,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,_fnFeatureHtmlLength( settings ),45,35,19,4,7,0,3,29,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,_fnFeatureHtmlPaginate( settings ),48,42,18,5,5,0,1,16,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"_fnPageChange( settings, action, redraw )",62,55,28,7,7,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,_fnFeatureHtmlProcessing( settings ),7,7,3,1,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"_fnProcessingDisplay( settings, show )",6,5,4,1,1,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,_fnFeatureHtmlTable( settings ),139,104,51,8,15,0,20,113,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,_fnScrollDraw( settings ),257,161,100,16,40,3,56,530,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"_fnApplyToChildren( fn, an1, an2 )",26,21,16,4,5,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,_fnCalculateColumnWidths( oSettings ),212,136,70,16,28,2,48,514,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"_fnThrottle( fn, freq )",25,22,14,2,3,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"_fnConvertToWidth( width, parent )",13,10,7,3,3,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"_fnGetWidestNode( settings, colIdx )",10,9,6,3,1,1,0,8,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"_fnGetMaxLenString( settings, colIdx )",15,12,10,3,3,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,_fnStringToCss( s ),15,12,6,5,2,0,1,7,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,_fnSortFlatten( settings ),63,50,25,8,9,0,4,18,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,_fnSort( oSettings ),122,72,42,13,16,0,34,313,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,_fnSortAria( settings ),41,31,22,3,5,0,5,48,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"_fnSortListener( settings, colIdx, append, callback )",72,54,39,8,9,1,9,73,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"_fnSortAttachListener( settings, attachTo, colIdx, callback )",28,19,16,3,4,0,5,42,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,_fnSortingClasses( settings ),27,19,14,3,5,0,3,11,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"_fnSortData( settings, idx )",33,25,15,4,6,1,2,25,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,_fnSaveState( settings ),25,21,11,2,3,0,1,5,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"_fnLoadState( settings, oInit )",77,51,37,12,13,0,13,72,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,_fnSettingsFromNode( table ),7,6,4,1,1,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"_fnLog( settings, level, msg, tn )",31,26,16,4,4,1,1,5,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"_fnMap( ret, src, name, mappedName )",21,18,13,4,3,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"_fnExtend( out, extender, breakRefs )",23,20,15,5,3,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"_fnBindAction( n, oData, fn )",16,15,11,2,0,1,1,15,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"_fnCallbackReg( oSettings, sStore, fn, sName )",8,8,4,1,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"_fnCallbackFire( settings, callbackArr, eventName, args )",18,13,11,4,5,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,_fnLengthOverflow( settings ),21,15,8,2,4,0,2,27,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"_fnRenderer( settings, type )",17,10,8,4,2,0,5,33,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,_fnDataSource( settings ),8,8,6,4,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( options ),1249,519,328,73,138,2,592,3751,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( mixed ),37,31,24,9,2,0,4,12,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( context, data )",38,29,20,6,6,0,3,5,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( name, val )",49,44,25,9,5,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( pluralName, singularName, val )",23,16,10,4,3,1,4,42,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( selector, a )",19,14,10,5,2,0,3,29,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( selector ),8,6,4,1,1,0,1,6,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),4,4,4,2,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),4,4,4,2,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),4,4,4,2,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),4,4,4,2,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),4,4,4,2,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( paging ),15,14,9,3,1,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( action ),9,7,6,3,1,1,1,13,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( action ),22,20,6,3,2,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( len ),14,9,6,3,1,0,4,29,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),8,5,4,2,2,0,1,3,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( callback, resetPaging )",4,4,4,1,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( url ),29,21,13,6,3,0,5,26,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( callback, resetPaging )",6,4,4,1,0,0,2,17,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( opts ),16,12,8,3,2,0,2,12,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( inst ),18,12,10,4,2,0,4,33,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( settings, opts )",55,44,21,8,4,7,7,78,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( settings, selector, opts )",76,42,29,17,10,1,24,236,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),4,4,4,2,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),4,4,4,2,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( type ),5,5,5,2,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( src ),4,4,4,1,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),4,4,4,2,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( hash ),13,10,8,3,2,0,1,12,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),51,35,29,7,10,1,6,33,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( rows ),25,19,16,4,5,0,1,11,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( selector, opts )",2,2,2,1,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( data ),17,10,7,3,4,0,3,4,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),6,5,3,1,1,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( row ),16,11,9,5,2,0,3,36,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( api, idx )",13,10,8,2,3,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( api, show )",19,15,11,3,4,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( settings ),59,43,35,9,10,0,6,42,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( show ),3,3,3,1,0,1,0,10,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),3,3,3,1,0,1,0,10,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),3,3,3,1,0,1,0,10,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),8,6,5,3,1,0,1,11,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( settings, selector, opts )",75,57,32,18,9,3,9,68,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( settings, column, vis, recalc )",56,36,24,8,10,0,10,38,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( selector, opts )",4,4,4,2,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( selector, opts )",4,4,4,2,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),2,2,2,1,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),4,4,4,2,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( type ),6,6,4,2,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),4,4,4,2,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( vis, calc )",7,7,6,3,0,1,0,1,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( type ),6,6,4,2,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),4,4,4,1,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( type, idx )",11,10,7,4,1,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( selector, opts )",2,2,2,1,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),7,7,5,2,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),4,4,4,2,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( type ),6,5,5,2,1,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( type ),4,4,4,2,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),8,8,5,2,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( src ),4,4,4,1,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( rowSelector, columnSelector, opts )",2,2,2,1,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( data ),16,11,8,3,3,0,2,2,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( order, dir )",24,16,11,4,3,0,5,22,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( node, column, callback )",4,4,4,1,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( set ),15,13,10,3,2,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( dir ),12,9,9,1,3,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( input, regex, smart, caseInsen )",23,18,11,4,3,0,2,2,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( input, regex, smart, caseInsen )",23,17,11,4,4,0,2,2,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),4,4,2,1,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),5,4,5,1,0,0,1,4,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),4,4,2,1,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),4,4,4,1,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( table ),14,11,10,2,3,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( visible ),17,14,10,4,3,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function(i, key)",13,10,9,2,2,1,1,13,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),4,4,4,1,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),2,2,2,1,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),3,3,3,1,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function(),4,4,4,2,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,function( remove ),102,66,56,8,18,0,18,174,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( i, type )",26,15,8,1,1,0,10,34,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( token, def, plural )",15,12,8,3,3,1,0,5,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( d, settings )",3,3,3,1,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( d, settings )",9,6,5,3,0,0,3,33,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( d, settings )",3,3,3,1,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( d, settings )",3,3,3,1,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( d, settings )",3,3,3,1,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,"function( d, settings )",3,3,2,1,0,0,0,0,
C:\xampp\htdocs\toko\admin\javascript\jquery.dataTables.js,_addNumericSort( decimalPlace ),33,23,15,5,4,0,6,25,
